,Tweet,HS,Abusive
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,1,1
1,rt guna guna telat tau edan sarap gue gaul cigax jifla cal licew,0,1
2,41 kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0,0
3,guna guna ku tau mata sipit,0,0
4,guna guna kaum cebong kafir dongok dungu haha,1,1
5,guna ya bani taplak kawan kawan x98 x84 x98 x84 x98 x84,1,1
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0
7,gue selesai re watch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd uniform resource locator,0,1
8,admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertua taipan 2 kembar baby amp romantika bank islam senawang,0,0
9,guna enak ngewe,0,1
10,gue jari gue ukur nyali bacot x98,1,1
11,guna guna guna guna banci kaleng malu 2 nyungsep koe guna uniform resource locator,1,1
12,ajar ekonomi mesti jago privatisasi hati orang aduh ironi guna,0,0
13,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,1,0
14,guna bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,1,1
15,guna guna guna guna guna guna lawan bicara gue intelek kayak otak kencing onta gue aku hadis nabi sahih kafir kayak tolak ahlun nar,1,1
16,pikir ampas banget ya,0,0
17,ari bek rapi monyet x98 x86 x98 x86,0,1
18,cowok jentelmen jentelmen nama banci,1,1
19,guna alga mnr bom x98 x82,0,0
20,anjing ya gue jarang ambek takut wkwk gue budak cinta,0,1
21,guna noob peluang sakit nya gede sih,0,0
22,guna joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0,0
24,bandara udara internasional kertajati bangun gubernur ahmad heryawan anggar dapat belanja negara perintah pusat insya allah operasi,0,0
25,gubernur presiden rakyat ya,0,0
26,sih guna kerja delay mulu setan,1,1
27,turut pintu sorga pintu sorga asli pintu hati modus banget,0,0
28,rt guna guna guna partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0
29,guna guna nenek nenek heran cebong bohong,1,1
30,guna guna guna guna guna guna guna guna guna islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim,1,0
31,habis sahur jam 10 si bayi nete kali lemas,0,0
32,guna kak emak suka sipit wkwk,0,0
33,rt guna laku homo jaman now ngentot live blued uniform resource locator,0,1
34,guna kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0,0
35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1,1
36,x80 bajing luka lady terima ganjar ratus kali lipat x80 sanji,0,1
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri,0,0
38,guna guna presiden ri jokowi kerja nya tulus ikhlas,0,0
39,edan tuju fabiano,0,1
40,dalam al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1,1
41,beda wibawa wibawa gubernur indonesia guna masya allah,0,0
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus,1,1
43,rt guna keanekaragaman budaya suku agama sungguh kaya djarot hadap serta,0,0
44,guna guna iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0,0
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0
46,guna guna positif positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,0,0
47,guna guna guna guna sembahyang adopsi tradisi lokal kerja hindu istilah xa0sembahyang xa0pun lahir tradisi ritus xa0menyembahhyang tunggal xa0shalat sembah all,0,0
48,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,1,1
49,guna guna ahok the best abai kaum kampret otak micin,1,1
50,guna guna sih otak tempurung laden lawan dungu makan hehe,1,1
51,guna awas berita saudara susah cari kosakata bocor picing mata bibir monyong samping suara ky nahan kentut politik kotor zaman brt pulang ky nahan ngeden dungu x98,1,1
52,pinokio umur 3 tahun,1,0
53,guna cerita silat lae x98 x80 kho merah muda oh indonesia liang ie shen tulis cina,0,0
54,rt guna benci umat islam,1,0
55,guna guna guna provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih apa camat wakil etnis mayoritas,1,1
56,guna gue nete,0,1
57,guna wkwk bani lowo,1,1
58,takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabur ahli ilmu filsafat mari demo sendi,0,0
59,a orang suka konser konser boros,0,0
60,makan racun ulama hukum rokok mubah,0,0
61,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus,0,0
62,guna kali gue gemar korea pop omong teman teman gue idol gue banci homo,1,1
63,suka video guna uniform resource locator kisah seteru haji bolot amp malih tongtong,0,0
64,budaya kafir sungguh islam indah,0,0
65,guna guna guna guna hem hem diam bisu coba rumput goyang x99 x99 x99 x99 x99 x99,0,0
66,setan bisik was was kepada minta lindung allah qs al a x80 200 36,0,0
67,guna guna guna guna guna guna guna ateis sibuk agama orang,0,0
68,lengser jokowi bangsat,1,1
69,guna selamat kartini,0,0
70,rt guna bajing homo hati hati anak anak kamar mandi laki laki biar uniform resource locator,1,1
71,guna iya cocot,1,1
72,guna budaya indonesia,0,0
73,guna ajar salat a orang asing pecah belah islam,0,0
74,guna x bicara bangkai,1,1
75,guna guna percaya negara jajah ranah bubar sistem sistem beraja negara jadi negara republik komunis negara negara jaja,0,0
76,nikmat bijak usul partai komunis indonesia iya,1,0
77,umpama orang cina usir paksa indonesia,1,0
78,guna bunda ngentot yuk,0,1
79,rt guna cina babi cina maling hypertext transfer protocol over secure socket layer t co,1,1
80,karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo bodoh keliru tutup akun,0,0
81,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0
82,guna wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0,0
83,ab pribadi senang kompetisi positif,0,0
84,guna guna kitab suci agama bilang om guna,1,0
85,guna suka tutup mata tutup tutup gara gara sipit,0,0
86,guna muslim guna nista kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi,0,0
87,guna eh kasar kampang,1,1
88,bentar gue rilis album the onta si wkwk,0,0
89,guna cebong bang,1,1
90,najis banget gue mentwit barusan he,0,1
91,transgender anjing uniform resource locator,1,1
92,guna awas bintit intip titit kucing,0,1
93,guna guna bawel bawa asa bolot bodor wkwk ya deh,0,1
94,guna guna guna guna gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1
95,salah target ahok agenda utama lengser jokowi,1,0
96,guna guna kena tagar panas banget,1,0
97,maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0,1
98,guna huria kristen batak protestan diri pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah diri huria kristen batak protestan kali tarutung k,0,0
99,baca biar pintar jepang amerika cina utang tau,0,0
100,prabowo kalah sebut bantu jokowi citra ratap pilu,1,0
101,guna guna takut azan iblis,0,0
102,guna guna goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1
103,guna guna guna guna cebong sewot x98 x82 x98 x82 x98 x82,1,1
104,2 gera tekan kerja keras total tingkat potensi bangsa,0,0
105,gubernur djarot mayoritas partai politik dewan wakil rakyat daerah dukung ahok djarot payah ya guna uniform resource locator,1,0
106,guna rezim rusak baik sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0,0
107,orang orang tuding antek asing asing sungguh tepuk tangan,0,0
108,guna anti asing,0,0
109,selamat guna moga kiprah tingkat nasional,0,0
110,sih ulama,0,0
111,guna tahu ketapang tenaga kerja asing asing usaha pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0,0
112,guna anak pecun hobi zina haha,1,1
113,guna bom surat harga syariah negara,0,0
114,guna istirahat presiden momentum saksi telinga mata rapat bentuk pacitan 2003,0,0
115,1979 house select committee on assassination temu cacat investigasi fbi warren commission simpul tembak konspirasi dalam,0,0
